"Soru","A","B","C","D","E","Cevap"
"4721 sayılı Türk Medeni Kanunu'na göre erginlik; I. 18 yaşın doldurulması, II. evlenme, III. kişinin isteği ve velisinin rızası hâllerinin hangilerinde mahkeme kararına ihtiyaç duymaksızın kural olarak doğrudan kazanılır?","Yalnız I","Yalnız III","I ve II","II ve III","I, II ve III","C"
"Kişiye bağlı olmayan, bir hukuki işlemle veya miras yoluyla başkalarına geçebilen haklar; devredilebilen haklardır. Buna göre I. rehin, II. nafaka, III. mülkiyet haklarından hangileri devredilebilen haklardandır?","Yalnız I","Yalnız II","I ve III","II ve III","I, II ve III","C"
"Haksız fiilin aşağıdaki unsurlarından hangisini gidermek üzere tazminata hükmedilir?","Fiil","Kusur","Zarar","Uygun illiyet bağı","Hukuka aykırılık","C"
"4721 sayılı Türk Medeni Kanunu'na göre hakkın kötüye kullanılması yasağı, aşağıdaki ilkelerden hangisi kapsamında düzenlenmiştir?","Resmî belgelerle ispat","İspat yükü","Hâkimin takdir yetkisi","Dürüst davranma","Hukukun uygulanması ve kaynakları","D"
"Müteselsil borçlulardan birinin feragat etmiş olması, diğerlerine karşı ileri sürülemez. / Borcun ifası için bir ayın başlangıcı veya sonu belirlenmişse... bundan ayın birinci ve sonuncu günü anlaşılır. / Mal değişim sözleşmesi, taraflardan birinin diğer tarafa... mülkiyetini devretmeyi üstlendiği sözleşmedir. (Sırasıyla hukuki nitelikleri nelerdir?)","Emredici - Yorumlayıcı - Tanımlayıcı","Emredici - Tanımlayıcı - Tamamlayıcı","Yorumlayıcı - Tamamlayıcı - Emredici","Yorumlayıcı - Emredici - Tanımlayıcı","Tamamlayıcı - Yorumlayıcı - Emredici","A"
"4721 sayılı Türk Medeni Kanunu'na göre hak ehliyeti, aşağıdaki koşullardan hangisinin gerçekleşmesiyle ana rahmine düşme anından başlayarak elde edilir?","Fiil ehliyetini kazanmak","Bir yaşını tamamlamak","Nüfus siciline kaydedilmek","Sağ doğmak","Ergin olmak","D"
"Türk hukukuna göre, metninde herhangi bir yürürlük tarihi gösterilmeyen kanunlar ne zaman yürürlüğe girer? (Not: 2017 öncesi sorusu baz alınmıştır)","Resmî Gazete'de yayımlanmasını izleyen günün başlangıcından hesap edilmek üzere kırk beşinci günün sona ermesinden itibaren","Resmî Gazete'de yayımlanmasını izleyen günün başlangıcından hesap edilmek üzere otuzuncu günün sona ermesinden itibaren","TBMM Genel Kurulunda kabul edildiği günden itibaren kırk beş gün sonra","TBMM Genel Kurulunda kabul edildiği günden itibaren otuz gün sonra","Resmî Gazete'de yayımlanmasını izleyen günün başlangıcından hesap edilmek üzere altmışıncı günün dolmasından itibaren","A"
"Türk hukukunda kanunlarla ilgili aşağıdakilerden hangisi yanlıştır?","Kanunlar, kural olarak Türkiye Büyük Millet Meclisinde kabul edildiklerinin ertesi günü yürürlüğe girer.","Milletvekillerinin her biri kanun teklifinde bulunabilir.","Kanun teklif ve tasarılarının görüşülebilmesi için Türkiye Büyük Millet Meclisi üye tam sayısının en az üçte birinin Genel Kurula katılması gerekir.","Kanun teklif ve tasarılarının kabulü için, kural olarak Genel Kurulda toplantıya katılan milletvekillerinin salt çoğunluğu aranır.","Kanun koyma yetkisi Türkiye Büyük Millet Meclisine aittir.","A"
"Türk hukukuna göre, aşağıdakilerden hangisi olağanüstü hâl ilanının sonuçları arasında yer almaz?","Vatandaşlar için para, mal ve çalışma yükümlülükleri getirilebilir.","Temel hakların kullanılması kısmen veya tamamen durdurulabilir.","Olağanüstü hâlin gerekli kıldığı konularda kanun hükmünde kararname çıkarılabilir.","Genel mahkemelerin yargı yetkisi devam eder.","Kolluk yetkileri askerî makamlara geçer.","E"
"Aşağıdakilerden hangisi 1982 Anayasası'nda, Türk toplumunun temeli olarak gösterilmiştir?","Eğitim","Aile","İstiklal Marşı","Cumhuriyet","Çağdaş medeniyet","B"
