Soru/Kavram,Cevap/Açıklama
"Türkiye'nin matematik (mutlak) konumu nedir?","36°-42° Kuzey paralelleri, 26°-45° Doğu meridyenleri arasındadır."
"Türkiye dönenceler dışında yer aldığı için sonuçları nelerdir?","Güneş ışınları hiçbir zaman dik açıyla gelmez ve gölge boyları hiçbir zaman sıfır olmaz."
"Türkiye'nin orta kuşakta yer almasının sonuçları nelerdir?","Yıllık sıcaklık farkı fazladır, batı rüzgârları etkilidir, cephe yağışları görülür, dört mevsim belirgin yaşanır."
"Aynı enlemde bulunan merkezlerde neler aynıdır?","Ekvator'a uzaklık, çizgisel hız, gurup-tan süresi, gece-gündüz süre farkı, güneş ışınlarının geliş açısı aynıdır."
"Boylam nedir?","Dünya üzerindeki herhangi bir noktanın başlangıç meridyenine olan uzaklığının açı cinsinden değeridir."
"Aynı boylamda yer alan merkezlerin ortak özellikleri nelerdir?","Yerel saat, öğle vakti, gün içinde gölge boyunun en kısa olduğu an ve saat dilimleri aynıdır."
"Türkiye'nin jeopolitiğinde değişmeyen unsurlar nelerdir?","Ülkenin coğrafi şekli, coğrafi konumu, stratejik kaynakları, jeolojik yapısı ve iklim koşullarıdır."
"Türkiye'de yerel saati hesaplamak için güneşin konumu nasıldır?","Güneşin tam tepede olduğu an hesaplanır, doğuda ileri, batıda geridir."
"Türkiye'nin ortak (ulusal) saati olarak neresi kullanılır?","45° Doğu meridyeni (Iğdır) ortak saat olarak kullanılır."
"Ekinoks tarihlerinde güneşin durumu nasıldır?","Gece-gündüz eşit olduğundan güneş yerel saate göre 06.00'da doğar, 12.00'de tepede olur, 18.00'de batar."
"21 Haziran'da Türkiye'de hangi mevsim başlar?","Yaz mevsimi başlar ve en uzun gündüz yaşanır."
"Gündüz sürelerinin en uzun olduğu tarih hangisidir?","21 Haziran tarihinde en uzun gündüz yaşanır ve kuzeye gidildikçe bu süre uzar."
"Türkiye'yi doğrudan ilgilendiren sorunlardan bazıları nelerdir?","Batı Trakya sorunu, Fır hattı sorunu, Ege Denizi Kıta Sahanlığı, Suriye ve Kıbrıs sorunudur."
"Türkiye'yi dolaylı ilgilendiren sorunlar nelerdir?","Orta Asya, Kafkasya, Libya, Yemen, Myanmar, Afganistan ve Doğu Türkistan sorunlarıdır."
"Karadeniz'in en derin noktası kaç metredir?","2210 metredir."
"Çizgisel hız Türkiye'de hangi yönde azalır?","Güneyden kuzeye doğru (Hatay'dan Sinop'a doğru) çizgisel hız azalır."
"Yükseltinin sıcaklık üzerindeki etkisi nedir?","Gerçek sıcaklık ile indirgenmiş sıcaklık arasındaki farkı etkiler."
"Fiziki haritalarda yer şekillerini göstermek için ne kullanılır?","Renkler yükselti basamaklarını ifade etmek için kullanılır."
"İndirgenmiş (0 metre) izoterm haritalarında neyin etkisi yoktur?","Yükseltinin etkisi yoktur."
