Soru/Kavram,Cevap/Açıklama
"""Benziyor"" kelimesinin kökü nedir?","Beniz (Yüz, suret)."
"""İlerliyor"" kelimesinin kökü nedir?","İleri."
"""Besliyor"" kelimesinin kökü nedir?","Besi."
"""Yalnız"" ve ""Yanlış"" kelimelerinin kökleri sırasıyla nelerdir?","Yalın ve Yanılmak."
"""Uykunun"" ve ""Oynamanın"" kelimelerinin kökleri nelerdir?","Uyumak ve Oyun."
"""Çevrenin"" kelimesinin kökü nedir?","Çevirmek."
"Ankara ili hangi anayasa ile ilk kez başkent olarak düzenlenmiştir?","1924 Anayasası."
"Ünlü daralması olup olmadığını anlamak için ""-yor"" eki atıldıktan sonra fiilin son harfinin ne olması gerekir?","Ünlü harf (a veya e)."
"Referandum ile kabul edilen ilk anayasamız hangisidir?","1961 Anayasası."
"1924 Anayasası'na göre Türkiye Devleti'nin şekli nedir?","Cumhuriyet."
"Özel isimlerle kurulan ""il, ilçe, köy, kasaba, semt"" kelimeleri nasıl yazılır?","Daima küçük harfle yazılır (örn: Aydın ili)."
"Ek eylem olan ""idi, imiş, ise""nin i'sinin düşmesi ne tür bir ses olayı kabul edilir?","Ünlü düşmesi."
"TRT ve Üniversitelere özerklik tanıyan anayasa hangisidir?","1961 Anayasası."
"""-yor"" eki dışında ünlü daralması görülen üç yaygın kelime örneği nedir?","Niye, yiyecek, diye."
"Rize'de föhn rüzgarları sayesinde hangi mikroklima ürünü yetişir?","Turunçgiller."
"1924 Anayasası'nda benimsenen hükümet sisteminin adı nedir?","Karma hükümet sistemi (Kuvvetler birliği ve görevler ayrılığı)."
"Ulusal egemenlik, demokrasi ve çok partili sistem kavramlarını içeren Atatürk ilkesi hangisidir?","Cumhuriyetçilik."
"Türkçede bir sözcükte ses olayı aranabilmesi için temel şart nedir?","Sözcüğün ek alması gerekir (kök halinde aranmaz)."
"1961 Anayasası'nda sosyal ve ekonomik haklar kaç başlık altında toplanmıştır?","Kişi hakları, sosyal ve ekonomik haklar, siyasi haklar (Üç ayrım)."
"İsim veya sıfat tamlamalarının arasına hangi noktalama işareti gelebilir?","Hiçbir noktalama işareti (özellikle virgül) gelemez."
"Boşluktan sonraki harf büyükse, o boşluğa gelmesi muhtemel işaretler nelerdir?","Nokta veya iki nokta."
"""Arizona kertenkelesi"" ve ""Antarktika pengueni"" gibi tamlamalarda tür isimleri nasıl yazılır?","Küçük harfle yazılır."
"Kur'an-ı Kerim'i ilk kez Türkçeye çeviren ve Dede Korkut hikayelerini yazılı hale getiren devlet hangisidir?","Akkoyunlular."
"""Uzay"" ve ""gök taşı"" kelimelerinin yazım kuralı nedir?","İkisi de küçük harfle yazılır."
"Sadece 1924 Anayasası'nda var olan ve kanunları yorumlama yetkisini meclise veren sistemin adı nedir?","Yasama yorumu."
"Türk anayasa tarihinde çift meclisli yapıya sahip olan iki anayasa hangisidir?","1876 Kanunuesasi ve 1961 Anayasası."
"Türkiye'de kuzeye gidildikçe sıcaklık ve çizgisel hız nasıl değişir?","Her ikisi de azalır."
"""Hissetti, affetti, reddetti"" gibi kelimelerde aynı harflerin yan yana gelmesi hangi ses olayını oluşturur?","Ünsüz türemesi."
"Ulusal bağımsızlık, vatan sevgisi ve milli bilinç kavramlarını içeren Atatürk ilkesi hangisidir?","Milliyetçilik."
