Soru/Kavram,Cevap/Açıklama
"""Kaşgarlı Mahmut'a göre ""Türk"" adının anlamı nedir?","Olgunluk Çağı"
"""Ziya Gökalp'e göre ""Türk"" kelimesi ne anlama gelmektedir?","Töreli"
"""Uygur kaynaklarında ""Türk"" kelimesinin karşılığı nedir?","Güçlü, kuvvetli"
"""Çin kaynaklarına göre ""Türk"" adı hangi nesneyle özdeşleştirilmiştir?","Miğfer"
"""W. Barthold'a göre ""Türk"" kelimesinin anlamı nedir?","Kanunla düzenlenmiş halk"
"Türklerin ilk ana yurdu neresidir?","Orta Asya"
"Orta Asya'da kurulan, bilinen ilk teşkilatlı Türk devleti hangisidir?","Asya Hun Devleti (Büyük Hun Devleti)"
"Asya Hun Devleti'nin bilinen ilk hükümdarı kimdir?","Teoman"
"Asya Hun Devleti'nin en parlak dönemi hangi hükümdar zamanında yaşanmıştır?","Mete Han"
"Mete Han'ın ordu düzeninde kurduğu ve diğer devletlere örnek olan sistemin adı nedir?","Onlu teşkilat"
"375 yılında başlayan ve Roma İmparatorluğu'nun ikiye ayrılmasına neden olan kitlesel göç hareketinin adı nedir?","Kavimler Göçü"
"Kavimler Göçü sonucunda Avrupa'da ortaya çıkan feodal yönetim sistemine ne ad verilir?","Derebeylik"
"Avrupa Hun Devleti'nin kurucusu kimdir?","Balamir"
"Türklerin Anadolu'ya ilk kez ayak basması hangi Avrupa Hun hükümdarı döneminde gerçekleşmiştir?","Uldız"
"Avrupa Hun Devleti'nin en parlak dönemi hangi hükümdar ile başlamıştır?","Attila"
"""Avrupa dillerinde ""Tanrı'nın Kamçısı"" (Etzel) olarak bilinen Türk hükümdarı kimdir?","Attila"
"""Tarihte ilk kez ""Türk"" adını devlet adı olarak kullanan devlet hangisidir?","Kök Türk Devleti"
"Kök Türk Devleti'nin kurucusu ve merkezi neresidir?","Bumin Kağan - Ötüken"
"Budizm'i kabul ederek halkıyla ters düşen Kök Türk kağanı kimdir?","Tapo Kağan"
"II. Kök Türk Devleti'nin kurucusu kimdir?","Kutluk İlteriş Kağan"
"Türk tarihinin ve edebiyatının ilk yazılı örnekleri olarak kabul edilen eser nedir?","Orhun Yazıtları"
"Uygur Devleti'nin ilk hakanı kimdir?","Kutluk Bilge Kül Kağan"
"Bögü Kağan döneminde Uygur Devleti'nin resmî dini hâline gelen inanç nedir?","Manihaizm"
"Dünyanın en uzun destanı olarak bilinen ve Kırgızlara ait olan eser hangisidir?","Manas Destanı"
"İstanbul'u kuşatan ilk Türk devleti hangisidir?","Avarlar"
"Museviliği benimseyen ilk ve tek Türk devleti hangisidir?","Hazarlar"
"İslamiyet'i kabul eden ilk Türk topluluğu hangisidir?","Karluklar"
"Malazgirt Savaşı'nda Bizans ordusundan ayrılarak Selçuklu tarafına geçen Türk topluluğu hangisidir?","Peçenekler"
"İslamiyet öncesi Türk devletlerinde meclise verilen genel ad nedir?","Kurultay"
"Hükümdarlığın Tanrı tarafından verildiği inancına ne ad verilir?","Kut"
"İslamiyet öncesi Türklerde cennet kavramının karşılığı nedir?","Uçmağ"
"İslamiyet öncesi Türklerde cehennem kavramının karşılığı nedir?","Tamu"
"Türklerde ölen kişinin ardından düzenlenen cenaze törenine ne denir?","Yuğ"
"Eski Türklerde mezarların etrafına dikilen heykelciklere veya mezar taşlarına ne ad verilir?","Balbal"
"Hükümdarın erkek çocuklarına verilen unvan nedir?","Tigin"
"Tiginleri yetiştiren eğitmenlere ne ad verilir?","Ataman"
"""İslamiyet öncesi Türk toplum yapısında en küçük birim olan ""aile""nin karşılığı nedir?","Oguş"
"Uygurlar döneminde kullanılan ilk kâğıt paranın adı nedir?","Çav"
"1097 yılında haçlıların İznik'i alarak Anadolu Selçuklu başkentinin Konya'ya taşınmasına neden olan sefer hangisidir?","I. Haçlı Seferi"
"Kudüs'ü 1187'de haçlılardan geri alarak III. Haçlı Seferi'ne neden olan komutan kimdir?","Selahaddin Eyyubi"
"Hangi keşif sonucunda Baharat ve İpek Yolları eski önemini kaybetmiştir?","Coğrafi Keşifler"
"Ümit Burnu'nu keşfederek Hindistan'a denizden ulaşan kaşif kimdir?","Vasco da Gama"
