"No","Soru","A","B","C","D","E","Cevap"
"1","I. Türk kültürünün geniş bir coğrafyaya yayılması II. Yeni Türk devletlerinin kurulması III. Türk tarihinin ilk yazılı eserlerinin verilmesi. Yukarıda verilenlerden hangileri Kavimler Göçü'nün sonuçları arasında gösterilemez?","Yalnız I","Yalnız II","Yalnız III","I ve III","II ve III","C"
"2","İskitlerde ölülerin mezarlara eşyaları ile gömülmesi ve ölülerin mumyalanması; I. ahiret inancının olduğu, II. çok tanrılı inancın bulunduğu, III. eczacılık faaliyetinin görüldüğü durumlarından hangilerini kanıtlar niteliktedir?","Yalnız I","Yalnız II","I ve III","II ve III","I, II ve III","C"
"3","I. Avarlar II. Macarlar III. Bulgarlar Yukarıda verilenlerden hangileri Avrupa'da faaliyette bulunmuş Türk topluluklarıdır?","Yalnız I","Yalnız II","Yalnız III","I ve III","I, II ve III","E"
"4","Türk tiyatrosunun temellerini attılar. Duvar resimleri ve minyatür alanında ilerlediler. İlk kez toplu halde din değiştirdiler. Yukarıda bazı özellikleri verilen Türk devleti aşağıdakilerden hangisidir?","Kök Türkler","Uygurlar","Türgişler","Macarlar","Hazarlar","B"
"5","I. Kök Türkler II. Uygurlar III. Asya Hunları Yukarıda verilen Türk devletlerinin hangilerinde yazılı edebiyat ürünleri görülmektedir?","Yalnız I","Yalnız II","I ve II","I ve III","II ve III","C"
"6","İslamiyet öncesi Türk devletlerinin kısa sürede yıkılmalarında ve merkeziyetçi bir yapı oluşturamamalarında; I. özel mülkiyetin gelişmemesi, II. ikili devlet teşkilatının uygulanması, III. ülkenin hanedanın ortak malı sayılması durumlarından hangilerinin etkili olduğu söylenebilir?","Yalnız I","Yalnız II","I ve III","II ve III","I, II ve III","D"
"7","Aşağıdakilerden hangisi Orta Asya Türk devletlerinde siyasal örgütlenmenin en üst basamağını oluşturmaktadır?","El","Kengeş","Toy","Şad","Buyruk","A"
"8","I. Tahıl II. Silah III. İpek Yukarıda verilenlerden hangileri Orta Asya Türk devletlerinde genel olarak ihraç ürünleri arasında gösterilemez?","Yalnız I","Yalnız II","Yalnız III","I ve III","II ve III","D"
"9","I. İtil Bulgarları II. Karluklar III. Kumanlar Yukarıda verilen Türk boylarından hangileri İslamiyet'i benimsemiştir?","Yalnız I","Yalnız II","I ve II","II ve III","I, II ve III","C"
"10","İslamiyet öncesi Türk devletlerindeki hukuk sisteminde; I. idam cezası, II. uzun süreli hapis, III. köle satışı uygulamalarından hangilerine yönelik işlemlere yer verilmiştir?","Yalnız I","Yalnız II","I ve II","I ve III","II ve III","A"
