Soru/Kavram,Cevap/Açıklama
"Türkiye'nin matematik (mutlak) konumu hangi paraleller arasındadır?","36° - 42° Kuzey paralelleri."
"Türkiye'nin matematik (mutlak) konumu hangi meridyenler arasındadır?","26° - 45° Doğu meridyenleri."
"Türkiye'nin dönenceler dışında yer almasının güneş ışınları açısından sonucu nedir?","Güneş ışınları hiçbir zaman dik açıyla (90°) gelmez."
"Türkiye'de gölge boyunun hiçbir zaman sıfır olmamasının temel sebebi nedir?","Dönenceler dışında yer alması."
"Türkiye'nin Orta Kuşak'ta yer alması sonucunda görülen rüzgâr tipi hangisidir?","Batı rüzgârları."
"Türkiye'de cephe yağışlarının (frontal) görülmesi hangi kuşakta yer almasının bir sonucudur?","Orta Kuşak."
"Türkiye'de dört mevsimin belirgin olarak yaşanmasının temel sebebi nedir?","Orta Kuşak'ta (matematik konum) yer alması."
"Türkiye'de dağların güney yamaçlarının kuzey yamaçlarına göre daha çok ısınması hangi özelliğidir?","Bakı etkisi (Kuzey Yarım Küre'de yer alması)."
"Türkiye'de öğlen vakti gölge yönü daima hangi yönü gösterir?","Kuzey."
"Türkiye'de kuzeyden esen rüzgârların sıcaklığı düşürmesi neyin kanıtıdır?","Kuzey Yarım Küre'de yer almasının."
"Türkiye'de güneyden esen rüzgârların sıcaklığı yükseltmesi neyin kanıtıdır?","Kuzey Yarım Küre'de yer almasının."
"Türkiye'de güneyden kuzeye gidildikçe çizgisel hız nasıl değişir?","Azalır."
"Türkiye'de güneyden kuzeye gidildikçe yer çekimi nasıl değişir?","Artar."
"Türkiye'de kıyılarda buzulların etkisinin görülmemesi hangi konumun sonucudur?","Orta Kuşak'ta yer almasının (Matematik konum)."
"Bir noktanın Ekvator'a olan uzaklığının açı cinsinden değerine ne denir?","Enlem."
"Denizlerin tuzluluk oranı, gurup ve tan süreleri hangi coğrafi kavramın etkisindedir?","Enlem."
"Aynı enlem üzerindeki merkezlerde hangi hız değeri her zaman aynıdır?","Çizgisel hız."
"Aynı boylam üzerindeki merkezlerde her zaman ortak olan zaman dilimi hangisidir?","Yerel saat."
"Boylam: Dünya üzerindeki bir noktanın _____ meridyenine olan uzaklığının açı cinsinden değeridir.","Başlangıç."
"Türkiye'nin üç tarafının denizlerle çevrili olması hangi konum türüne girer?","Özel (Göreceli) Konum."
"Türkiye'nin ortalama yükseltisinin fazla olması hangi konum türünün sonucudur?","Özel (Göreceli) Konum."
"Gerçek alan ile iz düşüm alan arasındaki farkın fazla olması neyin göstergesidir?","Yer şekillerinin engebeli ve dağlık olmasının."
"Jeopolitik konumun değişmeyen unsurlarından birine örnek veriniz.","Stratejik kaynaklar (veya coğrafi konum, iklim koşulları)."
"Jeopolitik konumun değişen unsurlarından birine örnek veriniz.","Politik değerler (veya askeri güç, ekonomik değerler)."
"Yerel saat hesaplamalarında temel kural nedir?","Doğuda ileri, batıda geridir."
"Türkiye'de 2016 yılından itibaren sürekli olarak hangi saat dilimi ulusal saat olarak kullanılmaktadır?","45° Doğu meridyeni (Iğdır) - Yaz saati."
"45° Doğu boylamından batıya doğru gidildikçe yerel saat ile ulusal saat arasındaki fark nasıl değişir?","Artar."
"Ekinoks tarihlerinde (21 Mart - 23 Eylül) güneş yerel saate göre saat kaçta batar?","18.00'de."
"Türkiye'de en uzun gündüz hangi tarihte yaşanır?","21 Haziran."
"Türkiye'de en kısa gündüz hangi tarihte yaşanır?","21 Aralık."
"21 Haziran tarihinde Türkiye'de hangi yöne gidildikçe gündüz süresi uzar?","Kuzeye."
"21 Aralık tarihinde Türkiye'de hangi yöne gidildikçe gündüz süresi uzar?","Güneye."
"21 Haziran tarihinden sonra gündüz süreleri nasıl değişmeye başlar?","Kısalmaya başlar."
"21 Mart tarihinde Türkiye'de hangi mevsim başlar?","İlkbahar."
"Türkiye'yi doğrudan ilgilendiren dış sorunlardan birini söyleyiniz.","Kıbrıs Sorunu (veya Kıta Sahanlığı, Batı Trakya)."
"Türkiye'yi dolaylı ilgilendiren dış sorunlardan birini söyleyiniz.","Afganistan Sorunu (veya Libya, Filistin)."
"Hazar Denizi'ne kıyısı olan ülkelerden birini belirtiniz.","Azerbaycan (veya Rusya, Kazakistan, Türkmenistan, İran)."
"Karadeniz'e kıyısı olan ülkelerden hangisi Kafkasya bölgesindedir?","Gürcistan."
"Türkiye'nin en uzun kara sınırı hangi ülke iledir?","Suriye."
"Türkiye'nin en eski kara sınırı hangi antlaşma ile belirlenmiştir?","Kasr-ı Şirin Antlaşması (İran sınırı)."
"Demir yolu bağlantısı olan sınır kapılarımızdan birini söyleyiniz.","Kapıkule (veya Uzunköprü, Akyaka, Kapıköy, Nusaybin)."
"Gürcistan ile olan sınır kapılarımızdan en işlek olanı hangisidir?","Sarp."
"Ermenistan sınır kapıları (Akyaka ve Alican) neden kapalıdır?","Siyasi sorunlar nedeniyle."
"Türkiye'nin tek doğal sınırı olarak kabul edilen dağlık sınır hangi ülke iledir?","İran."
"Bulgaristan sınırında yer alan en işlek gümrük kapımız hangisidir?","Kapıkule."
"Yunanistan sınırının büyük bir bölümünü çizen doğal unsur nedir?","Meriç Nehri."
"Doğal (fiziki) özelliklerine göre oluşturulan bölgelerin değişim hızı nasıldır?","Çok uzun zamanda ve yavaş değişirler."
"Beşerî özelliklerine göre oluşturulan bölgelerin değişim hızı nasıldır?","Hızlı değişirler."
"Antalya'nın hem karstik, hem dağlık, hem de turizm bölgesi olması onu ne tür bir bölge yapar?","Karma Bölge."
"Hizmet özelliklerine göre oluşturulan işlevsel bölge kurumlarından birini örnek veriniz.","Devlet Su İşleri (DSİ) (veya Karayolları, Orman Genel Md.)."
"İdari ve siyasi bölgelerin sınırlarının doğal bölgelerden farkı nedir?","Sınırları daha kesin hatlarla ayrılır."
"Dünya'nın kendi ekseni etrafındaki dönüş hızına ne ad verilir?","Çizgisel hız."
"Dünya'nın her yerinde aynı olan hız türü hangisidir?","Açısal hız."
"Kutup Yıldızı'nın Türkiye'de görünmesi neyin ispatıdır?","Türkiye'nin Kuzey Yarım Küre'de yer aldığının."
"Türkiye'de iki meridyen arasındaki mesafe hangi yöne doğru artar?","Güneye (Ekvator'a) doğru."
"Fiziki haritalarda sarı renk hangi yükseltiyi ifade eder?","500 - 1000 metre arası."
"Fiziki haritalarda yeşil renk hangi yükseltiyi ifade eder?","0 - 500 metre arası."
